Supplier Name,F EILEENS - EILEEN'S CANDIES,,,,,,,,,,,,,,,,,,,,
Supplier Xref,EILEENS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Product Code,Item Name,Xref Code,Linked Item Xref Code,Formula #1,Formula #2,Description,Status,Supplier Item Group,Supplier Package UOM,Package Qty,Availability Start Date,Availability End Date,Barcode Type,Barcode Number,Cost Level,Package Cost,Allowance,Start Date,End Date,,
_100677,EILLIENS JELLY RINGS,36000895,36000895,,,,a,601 02 000,Case,2,,,u,_034952554984,Master,0,0,1900-01-01,2075-12-31,,
_100677,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_100677,,,,,,,,,,,,,,,SSK Skoglund Oil Co,10.5,0,2019-04-09,2075-12-31,,
_100685,EILLIENS GUM DROPS 28z,36000886,36000886,,,,a,601 02 000,Case,12,,,u,_034952554977,Master,0,0,1900-01-01,2075-12-31,,
_100685,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_100685,,,,,,,,,,,,,,,SSK Skoglund Oil Co,0,0,2019-04-09,2075-12-31,,
_100875,EILLIENS ASSORTED LOLLIES 16z,36000833,36000833,,,,a,601 02 000,Case,2,,,u,_034952555127,Master,0,0,1900-01-01,2075-12-31,,
_100875,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_100875,,,,,,,,,,,,,,,SSK Skoglund Oil Co,16.2,0,2019-04-09,2075-12-31,,
_101568,EILLIENS OLD FASH BLK TWIST 10z,36000914,36000914,,,,a,601 02 000,Case,2,,,u,_034952136791,Master,0,0,1900-01-01,2075-12-31,,
_101568,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_101568,,,,,,,,,,,,,,,SSK Skoglund Oil Co,6.6,0,2019-04-09,2075-12-31,,
_106443,EILLIENS BLK TWIST 16z,36000842,36000842,,,,a,601 02 000,Case,12,,,u,_034952560640,Master,0,0,1900-01-01,2075-12-31,,
_106443,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_106443,,,,,,,,,,,,,,,SSK Skoglund Oil Co,0,0,2019-04-09,2075-12-31,,
_107953,BIT O HONEY 10z,36000687,36000687,,,,a,601 02 120,Case,12,,,u,_034952577051,Master,0,0,1900-01-01,2075-12-31,,
_107953,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_107953,,,,,,,,,,,,,,,SSK Skoglund Oil Co,1.5,0,2019-04-09,2075-12-31,,
_108035,EILLIENS SOUR GUMMI CRAWLER 28z,36000933,36000933,,,,a,601 02 000,Case,2,,,u,_034952562231,Master,0,0,1900-01-01,2075-12-31,,
_108035,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_108035,,,,,,,,,,,,,,,SSK Skoglund Oil Co,15.36,0,2019-04-09,2075-12-31,,
_118372,CINNAMON GUM DROPS 28z,36000714,36000714,,,,a,601 02 000,Case,2,,,u,_034952570366,Master,0,0,1900-01-01,2075-12-31,,
_118372,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_118372,,,,,,,,,,,,,,,SSK Skoglund Oil Co,0.88,0,2019-04-09,2075-12-31,,
_120337,EILLIENS SOUR CHERRRY BALLS 17z,36000931,36000931,,,,a,601 02 000,Case,2,,,u,_034952572414,Master,0,0,1900-01-01,2075-12-31,,
_120337,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_120337,,,,,,,,,,,,,,,SSK Skoglund Oil Co,10.5,0,2019-04-09,2075-12-31,,
_123851,EILLIENS GUMMI TARANTULAS 28z,36000890,36000890,,,,a,601 02 000,Case,2,,,u,_034952577464,Master,0,0,1900-01-01,2075-12-31,,
_123851,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_123851,,,,,,,,,,,,,,,SSK Skoglund Oil Co,15.6,0,2019-04-09,2075-12-31,,
_126607,EILLIENS GUMMI TWIN CHERRIES 15z,36000823,36000823,,,,a,601 02 000,Case,2,,,u,_034952581492,Master,0,0,1900-01-01,2075-12-31,,
_126607,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_126607,,,,,,,,,,,,,,,SSK Skoglund Oil Co,9,0,2019-04-09,2075-12-31,,
_126615,EILLIENS GUMMI AWESOME BLOSSOM 17z,36000817,36000817,,,,a,601 02 000,Case,12,,,u,_034952581508,Master,0,0,1900-01-01,2075-12-31,,
_126615,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_126615,,,,,,,,,,,,,,,SSK Skoglund Oil Co,1.65,0,2019-04-09,2075-12-31,,
_126623,EILLIENS GUMMI JET FIGHTERS 17z,36000821,36000821,,,,a,601 02 000,Case,2,,,u,_034952581515,Master,0,0,1900-01-01,2075-12-31,,
_126623,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_126623,,,,,,,,,,,,,,,SSK Skoglund Oil Co,9.9,0,2019-04-09,2075-12-31,,
_126631,EILLIENS GUMMI ASSORTED FISH 17z,36000816,36000816,,,,a,601 02 000,Case,2,,,u,_034952581522,Master,0,0,1900-01-01,2075-12-31,,
_126631,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_126631,,,,,,,,,,,,,,,SSK Skoglund Oil Co,9.9,0,2019-04-09,2075-12-31,,
_126656,EILLIENS GUMMI APPLE RINGS 15z,36000815,36000815,,,,a,601 02 000,Case,2,,,u,_034952581546,Master,0,0,1900-01-01,2075-12-31,,
_126656,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_126656,,,,,,,,,,,,,,,SSK Skoglund Oil Co,9,0,2019-04-09,2075-12-31,,
_126664,EILLIENS GUMMI BL RASP RINGS 15z,36000818,36000818,,,,a,601 02 000,Case,2,,,u,_034952581553,Master,0,0,1900-01-01,2075-12-31,,
_126664,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_126664,,,,,,,,,,,,,,,SSK Skoglund Oil Co,9,0,2019-04-09,2075-12-31,,
_126672,EILLIENS GUMMI CHERRY RINGS 15z,36000820,36000820,,,,a,601 02 000,Case,2,,,u,_034952581560,Master,0,0,1900-01-01,2075-12-31,,
_126672,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_126672,,,,,,,,,,,,,,,SSK Skoglund Oil Co,9,0,2019-04-09,2075-12-31,,
_126680,EILLIENS GUMMI WATERMELON RGS 15z,36000824,36000824,,,,a,601 02 000,Case,2,,,u,_034952581577,Master,0,0,1900-01-01,2075-12-31,,
_126680,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_126680,,,,,,,,,,,,,,,SSK Skoglund Oil Co,9,0,2019-04-09,2075-12-31,,
_128058,SUPER SNACKS CHOC PEANUT CLUSTER,32003407,32003407,,,,a,601 04B 000,Case,12,,,u,_034952585353,Master,0,0,1900-01-01,2075-12-31,,
_128058,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_128058,,,,,,,,,,,,,,,SSK Skoglund Oil Co,20.16,0,2019-04-09,2075-12-31,,
_129320,SUPER SNACK MIXED NUTS W/ PEANUTS 8z,36001116,36001116,,,,a,601 02 000,Case,2,,,u,_034952583496,Master,0,0,1900-01-01,2075-12-31,,
_129320,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_129320,,,,,,,,,,,,,,,SSK Skoglund Oil Co,11.76,0,2019-04-09,2075-12-31,,
_129338,SUPER SNACK VIRGINIA PEANUTS 9z,36001117,36001117,,,,a,601 02 000,Case,2,,,u,_034952583502,Master,0,0,1900-01-01,2075-12-31,,
_129338,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_129338,,,,,,,,,,,,,,,SSK Skoglund Oil Co,7.44,0,2019-04-09,2075-12-31,,
_129346,SUPER SNACK HONEY ROAST PEANUTS 9z,36001115,36001115,,,,a,601 02 000,Case,2,,,u,_034952583519,Master,0,0,1900-01-01,2075-12-31,,
_129346,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_129346,,,,,,,,,,,,,,,SSK Skoglund Oil Co,8.34,0,2019-04-09,2075-12-31,,
_129353,SS BUTTER TOFFEE PEANUTS 9Z,36001114,36001114,,,,a,601 02 000,Case,2,,,u,_034952583526,Master,0,0,1900-01-01,2075-12-31,,
_129353,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_129353,,,,,,,,,,,,,,,SSK Skoglund Oil Co,10.26,0,2019-04-09,2075-12-31,,
_130088,EILLIENS LICORICE LOVER'S MIX 12z,36000903,36000903,,,,a,601 02 000,Case,2,,,u,_034952583922,Master,0,0,1900-01-01,2075-12-31,,
_130088,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_130088,,,,,,,,,,,,,,,SSK Skoglund Oil Co,10.8,0,2019-04-09,2075-12-31,,
_130096,EILLIENS MINI CARAMEL BALLS 12z,36000909,36000909,,,,a,601 02 000,Case,2,,,u,_034952583946,Master,0,0,1900-01-01,2075-12-31,,
_130096,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_130096,,,,,,,,,,,,,,,SSK Skoglund Oil Co,12.9,0,2019-04-09,2075-12-31,,
_130104,EILLIENS BLUEBERRY YOGURT PRETZELS,36000843,36000843,,,,a,601 02 000,Case,2,,,u,_034952583953,Master,0,0,1900-01-01,2075-12-31,,
_130104,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_130104,,,,,,,,,,,,,,,SSK Skoglund Oil Co,12,0,2019-04-09,2075-12-31,,
_130112,EILLIENS CINNAMON YOGURT PRETZELS,36000870,36000870,,,,a,601 02 000,Case,2,,,u,_034952583960,Master,0,0,1900-01-01,2075-12-31,,
_130112,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_130112,,,,,,,,,,,,,,,SSK Skoglund Oil Co,12,0,2019-04-09,2075-12-31,,
_130120,EILLIENS RASP YOGURT PRETZELS,36009681,36009681,,,,a,601 04B 000,Case,2,,,u,_034952583977,Master,0,0,1900-01-01,2075-12-31,,
_130120,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_130120,,,,,,,,,,,,,,,SSK Skoglund Oil Co,12,0,2019-04-09,2075-12-31,,
_131102,EILLIENS ASST JELLY BEANS 17z,36000834,36000834,,,,a,601 02 000,Case,2,,,u,_034952584578,Master,0,0,1900-01-01,2075-12-31,,
_131102,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_131102,,,,,,,,,,,,,,,SSK Skoglund Oil Co,9.3,0,2019-04-09,2075-12-31,,
_131847,SUPER SNACKS SALT WATER TAFFY WATERMLN,32003404,32003404,,,,a,601 02 000,Case,12,,,u,_034952585322,Master,0,0,1900-01-01,2075-12-31,,
_131847,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_131847,,,,,,,,,,,,,,,SSK Skoglund Oil Co,21.12,0,2019-04-09,2075-12-31,,
_133397,EILLIENS DARK CHOC STARS,1101803,1101803,,,,a,601 02 000,Case,2,,,u,_034952586060,Master,0,0,1900-01-01,2075-12-31,,
_133397,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_133397,,,,,,,,,,,,,,,SSK Skoglund Oil Co,12.6,0,2019-04-09,2075-12-31,,
_19023,EIL BRIDGE MIX,36000731,36000731,,,,a,601 02 000,Case,12,,,u,_034952561982,Master,0,0,1900-01-01,2075-12-31,,
_19023,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_19023,,,,,,,,,,,,,,,SSK Skoglund Oil Co,3.35,0,2019-04-09,2075-12-31,,
_19024,EIL VIRGINIA PE,36000803,36000803,,,,a,601 02 000,Case,2,,,u,_034952001068,Master,0,0,1900-01-01,2075-12-31,,
_19024,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_19024,,,,,,,,,,,,,,,SSK Skoglund Oil Co,11.7,0,2019-04-09,2075-12-31,,
_19025,EIL CHOCOLATE PEANUTS 12z,36000748,36000748,,,,a,601 02 000,Case,2,,,u,_034952562019,Master,0,0,1900-01-01,2075-12-31,,
_19025,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_19025,,,,,,,,,,,,,,,SSK Skoglund Oil Co,11.7,0,2019-04-09,2075-12-31,,
_19026,EIL MIXED NUTS,36000787,36000787,,,,a,601 02 000,Case,2,,,u,_034952563900,Master,0,0,1900-01-01,2075-12-31,,
_19026,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_19026,,,,,,,,,,,,,,,SSK Skoglund Oil Co,24.9,0,2019-04-09,2075-12-31,,
_19027,EIL SOUR GUMMI,36000798,36000798,,,,a,601 02 000,Case,2,,,u,_034952558678,Master,0,0,1900-01-01,2075-12-31,,
_19027,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_19027,,,,,,,,,,,,,,,SSK Skoglund Oil Co,0.83,0,2019-04-09,2075-12-31,,
_19028,EIL COUNTRY MIX,36000754,36000754,,,,a,601 02 000,Case,2,,,u,_034952555752,Master,0,0,1900-01-01,2075-12-31,,
_19028,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_19028,,,,,,,,,,,,,,,SSK Skoglund Oil Co,0.98,0,2019-04-09,2075-12-31,,
_19029,EIL SALT WATER,36000795,36000795,,,,a,601 02 000,Case,2,,,u,_034952554809,Master,0,0,1900-01-01,2075-12-31,,
_19029,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_19029,,,,,,,,,,,,,,,SSK Skoglund Oil Co,0.85,0,2019-04-09,2075-12-31,,
_19030,WHOLE CASHEWS,36001166,36001166,,,,a,601 02 000,Case,2,,,u,_034952563894,Master,0,0,1900-01-01,2075-12-31,,
_19030,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_19030,,,,,,,,,,,,,,,SSK Skoglund Oil Co,2.08,0,2019-04-09,2075-12-31,,
_19031,EIL CALIFORNIA,36000734,36000734,,,,a,601 02 000,Case,2,,,u,_034952561814,Master,0,0,1900-01-01,2075-12-31,,
_19031,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_19031,,,,,,,,,,,,,,,SSK Skoglund Oil Co,1.75,0,2019-04-09,2075-12-31,,
_19032,EIL SPICE DROPS,36000801,36000801,,,,a,601 02 000,Case,2,,,u,_034952554946,Master,0,0,1900-01-01,2075-12-31,,
_19032,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_19032,,,,,,,,,,,,,,,SSK Skoglund Oil Co,0.88,0,2019-04-09,2075-12-31,,
_19033,EIL OLD FASHION TW,36000790,36000790,,,,a,601 02 000,Case,2,,,u,_034952554601,Master,0,0,1900-01-01,2075-12-31,,
_19033,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_19033,,,,,,,,,,,,,,,SSK Skoglund Oil Co,0.85,0,2019-04-09,2075-12-31,,
_19034,EIL GUMMI WORMS,36000774,36000774,,,,a,601 02 000,Case,2,,,u,_034952558654,Master,0,0,1900-01-01,2075-12-31,,
_19034,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_19034,,,,,,,,,,,,,,,SSK Skoglund Oil Co,0.8,0,2019-04-09,2075-12-31,,
_19035,EIL CHOCOLATE RAISINS 12z,36000750,36000750,,,,a,601 02 000,Case,2,,,u,_034952562057,Master,0,0,1900-01-01,2075-12-31,,
_19035,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_19035,,,,,,,,,,,,,,,SSK Skoglund Oil Co,12.3,0,2019-04-09,2075-12-31,,
_19036,EIL GUMMI BEARS,36000768,36000768,,,,a,601 02 000,Case,2,,,u,_034952558661,Master,0,0,1900-01-01,2075-12-31,,
_19036,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_19036,,,,,,,,,,,,,,,SSK Skoglund Oil Co,0.8,0,2019-04-09,2075-12-31,,
_19076,EILLIENS CINN GR,36000814,36000814,,,,a,601 02 000,Case,2,,,u,_034952566475,Master,0,0,1900-01-01,2075-12-31,,
_19076,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_19076,,,,,,,,,,,,,,,SSK Skoglund Oil Co,1.53,0,2019-04-09,2075-12-31,,
_19077,EILLIENS CHEWY C,36000813,36000813,,,,a,601 02 000,Case,2,,,u,_034952559798,Master,0,0,1900-01-01,2075-12-31,,
_19077,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_19077,,,,,,,,,,,,,,,SSK Skoglund Oil Co,0.8,0,2019-04-09,2075-12-31,,
_19078,EIL CARAMEL CLUSTERS 12z,36000741,36000741,,,,a,601 02 000,Case,2,,,u,_034952562002,Master,0,0,1900-01-01,2075-12-31,,
_19078,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_19078,,,,,,,,,,,,,,,SSK Skoglund Oil Co,12.3,0,2019-04-09,2075-12-31,,
_19080,EILLIENS TOOTSIE,36000827,36000827,,,,a,601 02 000,Case,2,,,u,_034952559873,Master,0,0,1900-01-01,2075-12-31,,
_19080,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_19080,,,,,,,,,,,,,,,SSK Skoglund Oil Co,0.75,0,2019-04-09,2075-12-31,,
_19081,EILLIENS GUMMI P,36000822,36000822,,,,a,601 02 000,Case,2,,,u,_034952560398,Master,0,0,1900-01-01,2075-12-31,,
_19081,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_19081,,,,,,,,,,,,,,,SSK Skoglund Oil Co,0.75,0,2019-04-09,2075-12-31,,
_19082,EILLIENS ORANGE,36000826,36000826,,,,a,601 02 000,Case,2,,,u,_034952554953,Master,0,0,1900-01-01,2075-12-31,,
_19082,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_19082,,,,,,,,,,,,,,,SSK Skoglund Oil Co,0.88,0,2019-04-09,2075-12-31,,
_19083,EILLIENS IN SHELL,36000825,36000825,,,,a,601 02 000,Case,2,,,u,_034952556742,Master,0,0,1900-01-01,2075-12-31,,
_19083,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_19083,,,,,,,,,,,,,,,SSK Skoglund Oil Co,0.79,0,2019-04-09,2075-12-31,,
_19181,EILLIENS LOLLIE,36000904,36000904,,,,a,601 02 000,Case,2,,,u,_034952559965,Master,0,0,1900-01-01,2075-12-31,,
_19181,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_19181,,,,,,,,,,,,,,,SSK Skoglund Oil Co,0.83,0,2019-04-09,2075-12-31,,
_19182,EILLIENS CHOCOLATE,36000859,36000859,,,,a,601 02 000,Case,2,,,u,_034952562422,Master,0,0,1900-01-01,2075-12-31,,
_19182,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_19182,,,,,,,,,,,,,,,SSK Skoglund Oil Co,9,0,2019-04-09,2075-12-31,,
_19183,EILLIENS CIRCUS,36000871,36000871,,,,a,601 02 000,Case,2,,,u,_034952554700,Master,0,0,1900-01-01,2075-12-31,,
_19183,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_19183,,,,,,,,,,,,,,,SSK Skoglund Oil Co,0.8,0,2019-04-09,2075-12-31,,
_19282,EILLIENS DINNE,36000877,36000877,,,,a,601 02 000,Case,2,,,u,_034952562248,Master,0,0,1900-01-01,2075-12-31,,
_19282,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_19282,,,,,,,,,,,,,,,SSK Skoglund Oil Co,0.83,0,2019-04-09,2075-12-31,,
_19283,EILLIENS GUMMI,36000887,36000887,,,,a,601 02 000,Case,2,,,u,_034952575910,Master,0,0,1900-01-01,2075-12-31,,
_19283,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_19283,,,,,,,,,,,,,,,SSK Skoglund Oil Co,0.83,0,2019-04-09,2075-12-31,,
_19284,EILLIENS GUMMI BUTTE,36000819,36000819,,,,a,601 02 000,Case,2,,,u,_034952575903,Master,0,0,1900-01-01,2075-12-31,,
_19284,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_19284,,,,,,,,,,,,,,,SSK Skoglund Oil Co,9.9,0,2019-04-09,2075-12-31,,
_19286,EIL GUMMI RASPBERRY,36000773,36000773,,,,a,601 02 000,Case,2,,,u,_034952558685,Master,0,0,1900-01-01,2075-12-31,,
_19286,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_19286,,,,,,,,,,,,,,,SSK Skoglund Oil Co,9.9,0,2019-04-09,2075-12-31,,
_19410,EILLIENS SESAM,36000928,36000928,,,,a,601 02 000,Case,2,,,u,_034952563757,Master,0,0,1900-01-01,2075-12-31,,
_19410,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_19410,,,,,,,,,,,,,,,SSK Skoglund Oil Co,0.98,0,2019-04-09,2075-12-31,,
_19479,EILLIENS TOOTS,36000944,36000944,,,,a,601 02 000,Case,2,,,u,_034952559866,Master,0,0,1900-01-01,2075-12-31,,
_19479,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_19479,,,,,,,,,,,,,,,SSK Skoglund Oil Co,0.75,0,2019-04-09,2075-12-31,,
_19658,EILLIENS FROST,36000883,36000883,,,,a,601 02 000,Case,2,,,u,_034952575927,Master,0,0,1900-01-01,2075-12-31,,
_19658,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_19658,,,,,,,,,,,,,,,SSK Skoglund Oil Co,12.48,0,2019-04-09,2075-12-31,,
_19749,EILLIENS JELLY,36000892,36000892,,,,a,601 02 000,Case,2,,,u,_034952576252,Master,0,0,1900-01-01,2075-12-31,,
_19749,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_19749,,,,,,,,,,,,,,,SSK Skoglund Oil Co,0.75,0,2019-04-09,2075-12-31,,
_19750,EILLIENS BIRD E,36000837,36000837,,,,a,601 02 000,Case,2,,,u,_034952555455,Master,0,0,1900-01-01,2075-12-31,,
_19750,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_19750,,,,,,,,,,,,,,,SSK Skoglund Oil Co,0.75,0,2019-04-09,2075-12-31,,
_19751,EILLIENS JU JU,36000896,36000896,,,,a,601 02 000,Case,2,,,u,_034952576276,Master,0,0,1900-01-01,2075-12-31,,
_19751,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_19751,,,,,,,,,,,,,,,SSK Skoglund Oil Co,0.75,0,2019-04-09,2075-12-31,,
_19752,EILLIENS JUMBO,36000899,36000899,,,,a,601 02 000,Case,2,,,u,_034952555424,Master,0,0,1900-01-01,2075-12-31,,
_19752,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_19752,,,,,,,,,,,,,,,SSK Skoglund Oil Co,0.75,0,2019-04-09,2075-12-31,,
_19753,EILLIENS BIRD E,36000836,36000836,,,,a,601 02 000,Case,2,,,u,_034952555448,Master,0,0,1900-01-01,2075-12-31,,
_19753,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_19753,,,,,,,,,,,,,,,SSK Skoglund Oil Co,0.75,0,2019-04-09,2075-12-31,,
_19754,EILLIENS SPECKL,36000937,36000937,,,,a,601 02 000,Case,2,,,u,_034952558135,Master,0,0,1900-01-01,2075-12-31,,
_19754,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_19754,,,,,,,,,,,,,,,SSK Skoglund Oil Co,0.75,0,2019-04-09,2075-12-31,,
_19755,EILLIENS CRISP,36000874,36000874,,,,a,601 02 000,Case,2,,,u,_034952563160,Master,0,0,1900-01-01,2075-12-31,,
_19755,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_19755,,,,,,,,,,,,,,,SSK Skoglund Oil Co,0.75,0,2019-04-09,2075-12-31,,
_19756,EILLIENS EASTER,36000880,36000880,,,,a,601 02 000,Case,12,,,u,_034952561531,Master,0,0,1900-01-01,2075-12-31,,
_19756,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_19756,,,,,,,,,,,,,,,SSK Skoglund Oil Co,0.14,0,2019-04-09,2075-12-31,,
