Supplier Name,MDWGLD - MEADOW GOLD DAIRIES,,,,,,,,,,,,,,,,,,,,
Supplier Xref,MDWGLD,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Product Code,Item Name,Xref Code,Linked Item Xref Code,Formula #1,Formula #2,Description,Status,Supplier Item Group,Supplier Package UOM,Package Qty,Availability Start Date,Availability End Date,Barcode Type,Barcode Number,Cost Level,Package Cost,Allowance,Start Date,End Date,,
_041000054143,GOOD HUMOR STRWBRY SHORTCAKE BAR,182650,182650,,,,a,601 08 700,Case,24,,,u,_041000054143,Master,24.15,0,1900-01-01,2075-12-31,,
_041000054143,,,,,,,,,,,,,u,_410000541432,,,,,,,
_041000054730,24PK KING CONE,182644,182644,,,,a,706 09 004,Case,24,,,u,_041000054730,Master,29.56,0,1900-01-01,2075-12-31,,
_041000273643,GOOD HUMOR BIRTHDAY CAKE BAR,1066560,1066560,,,,a,601 08 700,Case,24,,,u,_041000273643,Master,24.15,0,1900-01-01,2075-12-31,,
_047677482487,24PK SNICKERS IC BAR,1055369,1055369,,,,a,601 08 700,Case,24,,,u,_047677482487,Master,27.6,0,1900-01-01,2075-12-31,,
_067778000013,LM COCONUT,37000864,37000864,,,,a,601 08 700,Case,24,,,u,_767778000013,Master,19.12,0,1900-01-01,2075-12-31,,
_067778000020,LM STRAWBERRY CREAM,37000862,37000862,,,,a,601 08 700,Case,24,,,u,_767778000020,Master,19.12,0,1900-01-01,2075-12-31,,
_06777800003,LM BUBBLE GUM,37000871,37000871,,,,a,601 08 700,Case,24,,,u,_006777800003,Master,19.12,0,1900-01-01,2075-12-31,,
_06777800003,,,,,,,,,,,,,u,_767778000037,,,,,,,
_067778000068,LM WALNUT CREAM,37000865,37000865,,,,a,601 08 700,Case,24,,,u,_767778000068,Master,19.12,0,1900-01-01,2075-12-31,,
_067778000075,LM COOKIES N CREAM,37000867,37000867,,,,a,601 08 700,Case,24,,,u,_767778000075,Master,19.12,0,1900-01-01,2075-12-31,,
_067778000082,LM MANGO,37000860,37000860,,,,a,601 08 700,Case,24,,,u,_767778000082,Master,19.12,0,1900-01-01,2075-12-31,,
_06777800014,LM STRAWBERRY JUICE,37000869,37000869,,,,a,601 08 700,Case,24,,,u,_767778000143,Master,19.12,0,1900-01-01,2075-12-31,,
_067778000303,LM COFFEE,37000866,37000866,,,,a,601 08 700,Case,24,,,u,_767778000303,Master,19.12,0,1900-01-01,2075-12-31,,
_067778000433,LM RICE PUDDING,37000863,37000863,,,,a,601 08 700,Case,24,,,u,_767778000433,Master,19.12,0,1900-01-01,2075-12-31,,
_067778000501,LM LIME JUICE,37000861,37000861,,,,a,601 08 700,Case,24,,,u,_767778000501,Master,19.12,0,1900-01-01,2075-12-31,,
_067778000686,LM MANGO HELADA,37000868,37000868,,,,a,601 08 700,Case,24,,,u,_767778000686,Master,19.12,0,1900-01-01,2075-12-31,,
_06777800071,LM PISTACHIO,37000870,37000870,,,,a,601 08 700,Case,24,,,u,_767778000716,Master,19.12,0,1900-01-01,2075-12-31,,
_067778013181,LM COCONUT CREAM,37000854,37000854,,,,a,601 08 700,Case,30,,,u,_767778013181,Master,23.5,0,1900-01-01,2075-12-31,,
_067778013198,LM ROMPOPE RUM RAISIN,37000855,37000855,,,,a,601 08 700,Case,30,,,u,_767778013198,Master,23.5,0,1900-01-01,2075-12-31,,
_070547014983,KLONDIKE CHOCO TACO,182653,182653,,,,a,601 08 700,Case,24,,,u,_070547014983,Master,29.69,0,1900-01-01,2075-12-31,,
_075856055399,24PK OREO COOKIE SANDWICH,182799,182799,,,,a,706 09 005,Case,24,,,u,_075856055399,Master,31.33,0,1900-01-01,2075-12-31,,
_076840100118,PT B&J HEATH COFFEE CRUNCH,182619,182619,,,,a,601 08 410,Each,1,,,u,_076840100118,Master,4.2,0,1900-01-01,2075-12-31,,
_076840100149,B AND J NY SUPER FUDGE CHUNK 16z,182659,182659,,,,a,601 08 410,Each,1,,,u,_076840100149,Master,4.2,0,1900-01-01,2075-12-31,,
_076840100156,B AND J CHERRY GARCIA 16z,182608,182608,,,,a,601 08 410,Each,1,,,u,_076840100156,Master,4.2,0,1900-01-01,2075-12-31,,
_076840100354,B AND J CHUNKY MONKEY 16z,182617,182617,,,,a,601 08 410,Each,1,,,u,_076840100354,Master,4.2,0,1900-01-01,2075-12-31,,
_076840100477,B AND J CHOC FUDGE BROWNIE 16z,182614,182614,,,,a,601 08 410,Each,1,,,u,_076840100477,Master,4.2,0,1900-01-01,2075-12-31,,
_076840100583,B AND J CHOC CHIP COOKIE DGH 16z,182613,182613,,,,a,601 08 410,Each,1,,,u,_076840100583,Master,4.2,0,1900-01-01,2075-12-31,,
_076840100811,B AND J PEANUT BUTTER CUP 16z,182662,182662,,,,a,601 08 410,Each,1,,,u,_076840100811,Master,4.2,0,1900-01-01,2075-12-31,,
_076840100989,B AND J PHISH FOOD 16z,182664,182664,,,,a,601 08 410,Each,1,,,u,_076840100989,Master,4.2,0,1900-01-01,2075-12-31,,
_076840101320,B AND J HALF BAKED 16z,182651,182651,,,,a,601 08 410,Each,1,,,u,_076840101320,Master,4.2,0,1900-01-01,2075-12-31,,
_076840102020,PT B&J BANANA SPLIT,182589,182589,,,,a,706 09 000,Each,1,,,u,_076840102020,Master,4.2,0,1900-01-01,2075-12-31,,
_076840102075,B AND J AMERICONE DREAM 16z,182582,182582,,,,a,601 08 410,Each,1,,,u,_076840102075,Master,4.2,0,1900-01-01,2075-12-31,,
_076840363957,B AND J SALTED CARAMEL CORE 16z,1055578,1055578,,,,a,601 08 410,Each,1,,,u,_076840363957,Master,4.2,0,1900-01-01,2075-12-31,,
_076840400218,B AND J STRAWBERRY CHSCAKE 16z,182672,182672,,,,a,601 08 410,Each,1,,,u,_076840400218,Master,4.2,0,1900-01-01,2075-12-31,,
_076840462858,PT B&J CHOCOLATTA COOKIE CORE,1065260,1065260,,,,a,706 09 000,Each,1,,,u,_076840462858,Master,4.2,0,1900-01-01,2075-12-31,,
_076840485116,B AND J The Tonight Dough 16z,1068557,1068557,,,,a,601 08 400,Each,1,,,u,_076840485116,Master,4.2,0,1900-01-01,2075-12-31,,
_076840657841,B AND J COOKIE DOUGH SLICE,33000468,33000468,,,,a,601 08 700,Case,18,,,u,_076840657841,Master,33.51,0,1900-01-01,2075-12-31,,
_077567000842,POPSICLE MINIONS POP,38001511,38001511,,,,a,601 08 700,Case,18,,,u,_077567000842,Master,13.35,0,1900-01-01,2075-12-31,,
_077567000972,GOOD HUMOR OREO CONE,33000446,33000446,,,,a,601 08 700,Case,12,,,u,_077567000972,Master,20,0,1900-01-01,2075-12-31,,
_077567002853,SPONGEBOB SQUAREPANTS 4z,1065259,1065259,,,,a,601 08 700,Case,18,,,u,_077567002853,Master,13.35,0,1900-01-01,2075-12-31,,
_077567003140,24PK RAINBOW POP UP,182919,182919,,,,a,706 09 004,Case,24,,,u,_077567003140,Master,19,0,1900-01-01,2075-12-31,,
_077567003935,GOOD HUMOR GIANT VANILLA SANDWICH,182643,182643,,,,a,601 08 700,Case,24,,,u,_077567003935,Master,18.07,0,1900-01-01,2075-12-31,,
_077567004536,GOOD HUMOR GIANT NEAPOLITAN SAND 6z,182905,182905,,,,a,601 08 700,Case,24,,,u,_077567004536,Master,18.07,0,1900-01-01,2075-12-31,,
_077567004895,KLONDIKE MRS FIELDS COOKIE SANDWICH 7z,182583,182583,,,,a,601 08 700,Case,12,,,u,_077567004895,Master,21.21,0,1900-01-01,2075-12-31,,
_077567008220,GOOD HUMOR GIANT KING CONE,182642,182642,,,,a,601 08 700,Case,12,,,u,_077567008220,Master,21.21,0,1900-01-01,2075-12-31,,
_077567028747,GOOD HUMOR OREO BAR,182647,182647,,,,a,601 08 700,Case,24,,,u,_077567028747,Master,25.57,0,1900-01-01,2075-12-31,,
_077567085191,POP POPSICLE RAINBOW,183712,183712,,,,a,601 08 700,Case,12,,,u,_077567085191,Master,9.5,0,1900-01-01,2075-12-31,,
_077567091024,BREYERS HEATH ENG TOFFEE 16z,183714,183714,,,,a,601 08 410,Each,1,,,u,_077567091024,Master,2.15,0,1900-01-01,2075-12-31,,
_077567132819,12PK MAGNUM ALMOND BAR,185857,185857,,,,a,601 08 700,Case,12,,,u,_077567132819,Master,21.21,0,1900-01-01,2075-12-31,,
_077567132826,GOOD HUMOR MAGNUM DOB CARA BAR,185856,185856,,,,a,601 08 700,Case,12,,,u,_077567132826,Master,21.21,0,1900-01-01,2075-12-31,,
_077567224828,BREYERS COOKIE N C,191301,191301,,,,a,601 08 910,Each,1,,,u,_077567224828,Master,5.92,0,1900-01-01,2075-12-31,,
_077567254238,BREYERS NATURAL VANILLA 48z,182766,182766,,,,a,601 08 200,Each,1,,,u,_077567254238,Master,5.92,0,1900-01-01,2075-12-31,,
_077567254405,48OZ BREYER BUTTER PECAN,182584,182584,,,,a,601 08 700,Each,1,,,u,_077567254405,Master,5.92,0,1900-01-01,2075-12-31,,
_077567254504,BREYERS COOKIES N CREAM 48z,182762,182762,,,,a,601 08 200,Each,1,,,u,_077567254504,Master,5.92,0,1900-01-01,2075-12-31,,
_077567265302,BREYER SNICKER 1 2,191303,191303,,,,a,601 08 910,Each,1,,,u,_077567265302,Master,5.92,0,1900-01-01,2075-12-31,,
_077567274700,PT BREYER CHOCOLATE,182612,182612,,,,a,601 08 400,Each,1,,,u,_077567274700,Master,1.88,0,1900-01-01,2075-12-31,,
_077567274724,48OZ BREYER COOKIES N CREAM,182820,182820,,,,a,706 09 000,Each,1,,,u,_077567274724,Master,5.92,0,1900-01-01,2075-12-31,,
_077567274731,PT BREYER VANILLA,182673,182673,,,,a,601 08 400,Each,1,,,u,_077567274731,Master,1.88,0,1900-01-01,2075-12-31,,
_077567274786,PT BREYER STRAWBERRY,182671,182671,,,,a,601 08 400,Each,1,,,u,_077567274786,Master,1.88,0,1900-01-01,2075-12-31,,
_077567274847,PT BREYER BUTTER PECAN,182607,182607,,,,a,706 09 000,Each,1,,,u,_077567274847,Master,1.88,0,1900-01-01,2075-12-31,,
_077567275059,BREYERS OREO COOKIE 16z,182661,182661,,,,a,601 08 410,Each,1,,,u,_077567275059,Master,2.15,0,1900-01-01,2075-12-31,,
_077567275066,BREYERS REESES PBCUP 16z,182669,182669,,,,a,601 08 410,Each,1,,,u,_077567275066,Master,2.15,0,1900-01-01,2075-12-31,,
_077567613707,MAGNUM DBL CHOC VAN BAR 3.3z,36009271,36009271,,,,a,601 08 700,Case,12,,,u,_077567613707,Master,21.21,0,1900-01-01,2075-12-31,,
_37113,KLONDIKE  VANILLA BAR 5.5z,182764,182764,,,,a,601 08 700,Case,24,,,u,_075856011470,Master,28.56,0,1900-01-01,2075-12-31,,
